/home/samuele/.local/lib/python3.8/site-packages/torch/cuda/__init__.py:128: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 6050). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
/home/samuele/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Epoch 1/110, Train Loss: 0.6317, Val Loss: 0.5244
Epoch 2/110, Train Loss: 0.5649, Val Loss: 0.4373
Epoch 3/110, Train Loss: 0.4605, Val Loss: 0.3277
Epoch 4/110, Train Loss: 0.3385, Val Loss: 0.2624
Epoch 5/110, Train Loss: 0.2311, Val Loss: 0.2565
Epoch 6/110, Train Loss: 0.1960, Val Loss: 0.2225
Epoch 7/110, Train Loss: 0.1593, Val Loss: 0.1989
Epoch 8/110, Train Loss: 0.1604, Val Loss: 0.1808
Epoch 9/110, Train Loss: 0.1264, Val Loss: 0.1693
Epoch 10/110, Train Loss: 0.1323, Val Loss: 0.1622
Epoch 11/110, Train Loss: 0.1252, Val Loss: 0.1560
Epoch 12/110, Train Loss: 0.1110, Val Loss: 0.1533
Epoch 13/110, Train Loss: 0.1353, Val Loss: 0.1507
Epoch 14/110, Train Loss: 0.0947, Val Loss: 0.1466
Epoch 15/110, Train Loss: 0.1227, Val Loss: 0.1429
Epoch 16/110, Train Loss: 0.0762, Val Loss: 0.1395
Epoch 17/110, Train Loss: 0.0795, Val Loss: 0.1370
Epoch 18/110, Train Loss: 0.0822, Val Loss: 0.1363
Epoch 19/110, Train Loss: 0.0738, Val Loss: 0.1364
Epoch 20/110, Train Loss: 0.0911, Val Loss: 0.1363
Epoch 21/110, Train Loss: 0.0768, Val Loss: 0.1349
Epoch 22/110, Train Loss: 0.1092, Val Loss: 0.1329
Epoch 23/110, Train Loss: 0.1016, Val Loss: 0.1309
Epoch 24/110, Train Loss: 0.0670, Val Loss: 0.1291
Epoch 25/110, Train Loss: 0.0856, Val Loss: 0.1276
