time,position,rotation,velocity
0.162,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.163,"[4.055242901635642e-08, 1.5981958297519354e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.163,"[1.3643206684885167e-07, 5.534897686652861e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.167,"[2.9350608977615766e-07, 7.63769179045803e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.167,"[4.777035026506948e-07, 8.145036091240746e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.167,"[6.717035700683563e-07, 7.418738075956597e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.168,"[8.665175303471107e-07, 5.80451333546252e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.169,"[1.057671459242862e-06, 3.60659247427818e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.17,"[1.2432061915878395e-06, 1.0796174081385303e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.171,"[1.4225691453923286e-06, -1.5712183553966066e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.172,"[1.5959745517397234e-06, -4.187230758285351e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.173,"[1.76402506115933e-06, -6.651870517955541e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.174,"[1.9274870207523775e-06, -8.885519145522253e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.175,"[2.0871594942116836e-06, -1.0839884003056287e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.176,"[2.2438015628315974e-06, -1.2492338362005954e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.177,"[2.3980959094529325e-06, -1.3840478775325556e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.179,"[2.5506346329863885e-06, -1.4897099512352053e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.179,"[2.7019182037022263e-06, -1.5685716543368544e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.18,"[2.85236169112954e-06, -1.6236715118173395e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.181,"[3.002304531814909e-06, -1.6584146925318645e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.182,"[3.152021528790225e-06, -1.6763165316809009e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.183,"[3.3017337205650324e-06, -1.6808059488284703e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.184,"[3.451618376671718e-06, -1.6750829729106865e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
