time,position,rotation,velocity
0.369,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.569,"[0.0004986378246295865, 1.0716462114712297e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.769,"[0.023728205656939082, 1.3678474545658432e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.969,"[0.06853274950947899, 5.524240164140942e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.169,"[0.13545662875341116, -1.5468766471134766e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.369,"[0.22460816740719253, -3.633588475056129e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.569,"[0.324591673808561, -7.061957258822779e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.7690000000000001,"[0.4246023693383534, -0.00011824183400228863, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.9689999999999999,"[0.5246143849299063, -0.0001777301660921752, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.169,"[0.6246274704830164, -0.00024823316841717744, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.3689999999999998,"[0.7246416376320409, -0.00032862022605854624, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.569,"[0.8246559676720776, -0.00041757726072826567, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.769,"[0.924671642430948, -0.0005166858206729707, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.969,"[1.0246900950824411, -0.0006282177766159465, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.169,"[1.1247073862962758, -0.0007488314260118907, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.3689999999999998,"[1.224719391592609, -0.0008753289632924431, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.569,"[1.3247274872408157, -0.0010073096575977235, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.769,"[1.424733129076218, -0.001146080839067448, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.969,"[1.5247372595156905, -0.0012917818452769785, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.169,"[1.6247395794385624, -0.0014451080494704957, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.369,"[1.7247405846727408, -0.0016054720419608017, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.569,"[1.8247404415182882, -0.001771217676540582, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.769,"[1.9247401088095315, -0.0019419215307561043, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.969,"[2.0247402340703315, -0.0021166989628463788, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.169,"[2.124741254974913, -0.002295083781098213, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.369,"[2.2247429313587825, -0.0024767974573979565, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.569,"[2.324745755709131, -0.0026606271085368323, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.769,"[2.424749450314204, -0.0028460867597334743, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.969,"[2.524754047471594, -0.0030325483776559264, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.169,"[2.624759681632447, -0.0032191244557769074, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.369,"[2.7247660538370453, -0.003405142230367425, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.569,"[2.824773415162194, -0.0035896303495924356, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.769,"[2.924781833681492, -0.003772073580658608, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.969,"[3.0247908301957223, -0.003951579402856121, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.169,"[3.124800788265337, -0.0041269667932275385, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.369,"[3.224811797768412, -0.004297529178440963, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.569,"[3.3248236176726604, -0.004462004126670287, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.769,"[3.4248364131624607, -0.004619610193914546, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.969,"[3.5248498467373137, -0.00476897126874485, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.169,"[3.6248635637140985, -0.00490778365755546, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.369,"[3.72487766517358, -0.005035149102870568, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.568999999999999,"[3.8248939714522776, -0.005152011992939523, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.769,"[3.9249100123529908, -0.005256237023862998, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.969,"[4.024921327750735, -0.005340654447934674, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.169,"[4.1249280568145865, -0.0054016239784774635, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.369,"[4.224931730355409, -0.005437431743709986, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.568999999999999,"[4.324932677729539, -0.005445181886839768, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.769,"[4.424930919599757, -0.0054204826741861565, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.969,"[4.5249260042899335, -0.005358632679140965, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.169,"[4.624921231437675, -0.005248079063850696, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.37,"[4.725419109627204, -0.0050537650168696055, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.57,"[4.825413901663524, -0.004751379122061438, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.007040353048272987]"
10.77,"[4.925375202032877, -0.004268436928451717, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.1348824319439248]"
10.97,"[5.025171457725007, -0.0020832489136387187, 0.0]","[0.0, 0.0, 0.03508324104933599]","[0.5, 0.0, 0.12930382636670645]"
11.17,"[5.12486225388092, 0.002671399918908101, 0.0]","[0.0, 0.0, 0.06045334227600164]","[0.5, 0.0, 0.12391257343824688]"
11.37,"[5.2244192729718595, 0.009908794693879397, 0.0]","[0.0, 0.0, 0.08485844278956702]","[0.5, 0.0, 0.11875960650958045]"
11.57,"[5.323783312257963, 0.01952627419204738, 0.0]","[0.0, 0.0, 0.10823165249957968]","[0.5, 0.0, 0.11386712409482516]"
11.77,"[5.4229076590501055, 0.03141868218892771, 0.0]","[0.0, 0.0, 0.13062984683268072]","[0.5, 0.0, 0.10922041659963341]"
11.97,"[5.521752873671534, 0.04548694283851034, 0.0]","[0.0, 0.0, 0.15210440128453095]","[0.5, 0.0, 0.10480638328996385]"
12.17,"[5.62028667488129, 0.061637304771125605, 0.0]","[0.0, 0.0, 0.17270216222130297]","[0.5, 0.0, 0.10061303862664031]"
12.37,"[5.718480531293499, 0.07978116743928873, 0.0]","[0.0, 0.0, 0.19246794354173685]","[0.5, 0.0, 0.09662888279219688]"
12.57,"[5.816307610725111, 0.09983032186152352, 0.0]","[0.0, 0.0, 0.21146399011613004]","[0.5, 0.0, 0.09283839828881933]"
12.77,"[5.913754483144941, 0.12170768147582676, 0.0]","[0.0, 0.0, 0.2296772307690735]","[0.5, 0.0, 0.08924625855579557]"
12.97,"[6.010791743978989, 0.14532974907662505, 0.0]","[0.0, 0.0, 0.24724053737607635]","[0.5, 0.0, 0.08579593482408598]"
13.17,"[6.107405737834255, 0.17062393350657995, 0.0]","[0.0, 0.0, 0.26419752557617526]","[0.5, 0.0, 0.08253197692695764]"
13.37,"[6.2035903519787405, 0.1975243188317957, 0.0]","[0.0, 0.0, 0.2805654661676727]","[0.5, 0.0, 0.07939780340791139]"
13.57,"[6.29933649650262, 0.22595801334088275, 0.0]","[0.0, 0.0, 0.2963252487096863]","[0.5, 0.0, 0.07641898544480319]"
13.77,"[6.39464200357455, 0.25586504163418977, 0.0]","[0.0, 0.0, 0.311542617954644]","[0.5, 0.0, 0.07357795649094277]"
13.971,"[6.489978134397424, 0.28735258451621565, 0.0]","[0.0, 0.0, 0.32633424578327946]","[0.5, 0.0, 0.07084971559175078]"
14.171,"[6.584384074429342, 0.320050208935043, 0.0]","[0.0, 0.0, 0.34051448993467753]","[0.5, 0.0, 0.06827459692246043]"
14.372,"[6.678800989270412, 0.3542245621739763, 0.0]","[0.0, 0.0, 0.3542072657176561]","[0.5, 0.0, 0.06583453553499743]"
14.572,"[6.772286898476641, 0.3894809056302622, 0.0]","[0.0, 0.0, 0.36731889971995446]","[0.5, 0.0, 0.06354345416167956]"
14.772,"[6.86531306173883, 0.42593923501438646, 0.0]","[0.0, 0.0, 0.3799312997598446]","[0.5, 0.0, 0.06138720737694146]"
14.972,"[6.9578833796884005, 0.46354889280727296, 0.0]","[0.0, 0.0, 0.3920690159436131]","[0.5, 0.0, 0.05936109879120907]"
15.172,"[7.050000830148814, 0.5022625343296406, 0.0]","[0.0, 0.0, 0.4037873597282652]","[0.5, 0.0, 0.0574512583848956]"
15.372,"[7.141663556167066, 0.5420370402656605, 0.0]","[0.0, 0.0, 0.4151204776669053]","[0.5, 0.0, 0.05564984114810008]"
15.572,"[7.232874082802295, 0.5828347318161805, 0.0]","[0.0, 0.0, 0.42610235818715436]","[0.5, 0.0, 0.05394901835976249]"
15.772,"[7.323637656811744, 0.6246212700532261, 0.0]","[0.0, 0.0, 0.43673966214414284]","[0.5, 0.0, 0.05234949378270105]"
15.972,"[7.41395922985693, 0.6673624739942032, 0.0]","[0.0, 0.0, 0.4470438046235684]","[0.5, 0.0, 0.05085070140515119]"
16.172,"[7.503838851971933, 0.7110234531821433, 0.0]","[0.0, 0.0, 0.4570542524012638]","[0.5, 0.0, 0.04944357147223198]"
16.372,"[7.593281697753613, 0.75557432894738, 0.0]","[0.0, 0.0, 0.46678531569712706]","[0.5, 0.0, 0.048128706020337725]"
16.572,"[7.682291884834913, 0.80098940021913, 0.0]","[0.0, 0.0, 0.47623240304988596]","[0.5, 0.0, 0.04690839305617903]"
16.772,"[7.77086701139004, 0.8472363273959089, 0.0]","[0.0, 0.0, 0.48547059543730453]","[0.5, 0.0, 0.04576409462049277]"
16.972,"[7.8590099981502695, 0.8942906710712987, 0.0]","[0.0, 0.0, 0.49452719945818974]","[0.5, 0.0, 0.0446932600415524]"
17.172,"[7.946724176431805, 0.9421332882578412, 0.0]","[0.0, 0.0, 0.5034040154631645]","[0.5, 0.0, 0.043699876674710904]"
17.372,"[8.034015253392745, 0.9907412223240913, 0.0]","[0.0, 0.0, 0.5121035943862235]","[0.5, 0.0, 0.0427884307264671]"
17.572,"[8.120886378886532, 1.0400949408434133, 0.0]","[0.0, 0.0, 0.520640190502048]","[0.5, 0.0, 0.04196047355971518]"
17.772,"[8.207340112688556, 1.0901770579217627, 0.0]","[0.0, 0.0, 0.5290225931004424]","[0.5, 0.0, 0.04121996453081713]"
17.972,"[8.293378807198144, 1.1409715100591244, 0.0]","[0.0, 0.0, 0.537264250537081]","[0.5, 0.0, 0.04057055263952114]"
18.172,"[8.379003412384211, 1.1924634564220813, 0.0]","[0.0, 0.0, 0.5453785968369523]","[0.5, 0.0, 0.040017100770828117]"
18.372,"[8.464213673733104, 1.2446396908583082, 0.0]","[0.0, 0.0, 0.5533825350480713]","[0.5, 0.0, 0.03956484896259853]"
18.572,"[8.549009264474508, 1.297489192542516, 0.0]","[0.0, 0.0, 0.5612947390813834]","[0.5, 0.0, 0.03921993011230498]"
18.772,"[8.633389855538843, 1.3510035597961916, 0.0]","[0.0, 0.0, 0.5691505869266579]","[0.5, 0.0, 0.03898603928907274]"
18.972,"[8.717353895648664, 1.4051762020191767, 0.0]","[0.0, 0.0, 0.5769783621866091]","[0.5, 0.0, 0.038872679233429026]"
19.172,"[8.800897156157099, 1.4600015195136915, 0.0]","[0.0, 0.0, 0.5847976426660034]","[0.5, 0.0, 0.03889609127433804]"
19.372,"[8.884013148272905, 1.5154756242920417, 0.0]","[0.0, 0.0, 0.5926270993783488]","[0.5, 0.0, 0.03907731965614446]"
19.572,"[8.966694732550122, 1.571597108247187, 0.0]","[0.0, 0.0, 0.600487946050579]","[0.5, 0.0, 0.0394432849856739]"
19.772,"[9.048932538547069, 1.628368032741377, 0.0]","[0.0, 0.0, 0.608415471420396]","[0.5, 0.0, 0.04002595500010105]"
19.972,"[9.130714257905755, 1.6857955085341838, 0.0]","[0.0, 0.0, 0.6164610374017769]","[0.5, 0.0, 0.04086572223876709]"
20.172,"[9.212024452716438, 1.7438895647735244, 0.0]","[0.0, 0.0, 0.6246846936486691]","[0.5, 0.0, 0.0420194612756109]"
20.376,"[9.29244172014799, 1.8023693753061716, 0.0]","[0.0, 0.0, 0.6331145121697237]","[0.5, 0.0, 0.04359309882311114]"
20.576,"[9.374751296990665, 1.8633381744696718, 0.0]","[0.0, 0.0, 0.642202946052777]","[0.5, 0.0, 0.04566238053249183]"
20.776,"[9.454504275071638, 1.9235588615839931, 0.0]","[0.0, 0.0, 0.6514790013349947]","[0.5, 0.0, 0.04843560613865683]"
20.976,"[9.533670070470173, 1.9845424058382177, 0.0]","[0.0, 0.0, 0.6613791844472146]","[0.5, 0.0, 0.052185356841802186]"
21.176,"[9.612192518102761, 2.046336221741784, 0.0]","[0.0, 0.0, 0.6721721307159538]","[0.5, 0.0, 0.057369500627794154]"
21.376,"[9.689998040803234, 2.109019158066123, 0.0]","[0.0, 0.0, 0.6842352513016174]","[0.5, 0.0, 0.06480768084560726]"
21.576,"[9.766979913910367, 2.172692092357698, 0.0]","[0.0, 0.0, 0.6981278959510678]","[0.5, 0.0, 0.07612313424683217]"
21.776,"[9.842971628533284, 2.237503828171707, 0.0]","[0.0, 0.0, 0.7147904829145064]","[0.5, 0.0, 0.09494565028323751]"
21.976,"[9.917709071661266, 2.303697866308937, 0.0]","[0.0, 0.0, 0.7362846033902911]","[0.5, 0.0, 0.1310081490390874]"
22.176,"[9.990635612411202, 2.3717369155200725, 0.0]","[0.0, 0.0, 0.7681768620085951]","[0.5, 0.0, 0.21821170539684318]"
22.376,"[10.06086064082601, 2.4417801516267184, 0.0]","[0.0, 0.0, 0.7755727598045671]","[0.5, 0.0, -0.3704973629265434]"
22.576,"[10.135161798851371, 2.509569334870465, 0.0]","[0.0, 0.0, 0.7030045941839256]","[0.5, 0.0, -0.35385823527521393]"
22.776,"[10.214063605570326, 2.571885460294462, 0.0]","[0.0, 0.0, 0.6337584263329972]","[0.5, 0.0, -0.3381360810551736]"
22.976,"[10.296959701244301, 2.6287083811650054, 0.0]","[0.0, 0.0, 0.5675996219497207]","[0.5, 0.0, -0.3232571885491255]"
23.176,"[10.383332018074011, 2.6800435007225962, 0.0]","[0.0, 0.0, 0.5043867318891891]","[0.5, 0.0, -0.3091066673647789]"
23.376,"[10.472695379892544, 2.7259344856344425, 0.0]","[0.0, 0.0, 0.4439939186937651]","[0.5, 0.0, -0.2958558145745624]"
23.576,"[10.564617965501782, 2.766458288528117, 0.0]","[0.0, 0.0, 0.3863376400288334]","[0.5, 0.0, -0.2832680595954771]"
23.776,"[10.658664855134738, 2.80171763555208, 0.0]","[0.0, 0.0, 0.330992922584978]","[0.5, 0.0, -0.2712861590431674]"
23.976,"[10.754439000052763, 2.831825815599861, 0.0]","[0.0, 0.0, 0.2780475891943448]","[0.5, 0.0, -0.25993833706583375]"
24.176,"[10.851607229835983, 2.8569308489299665, 0.0]","[0.0, 0.0, 0.2273583361606529]","[0.5, 0.0, -0.24918343992385422]"
24.376,"[10.949882628951398, 2.877181650429445, 0.0]","[0.0, 0.0, 0.17873701598212566]","[0.5, 0.0, -0.23896834822820737]"
24.576,"[11.049006620969454, 2.8927321213689194, 0.0]","[0.0, 0.0, 0.13213246153680858]","[0.5, 0.0, -0.229279140887949]"
