time,position,rotation,velocity
0.374,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.574,"[0.0021360384299764375, 1.0730387091752892e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.774,"[0.031032476776192232, 1.252331527616162e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.974,"[0.07922662495950396, 8.473223015592704e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.174,"[0.150184174633218, -7.470833529294367e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.374,"[0.2430163735476055, -1.640333592975627e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.5739999999999998,"[0.34302244430702955, -3.1603891125802695e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.775,"[0.4430283828071848, -5.752996102914257e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.975,"[0.5435351226192251, -9.743954531611645e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.175,"[0.6435430679108267, -0.00015002726588762055, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.375,"[0.7435521562382612, -0.00021370607639818265, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.575,"[0.8435624262638575, -0.0002877814951840244, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.775,"[0.9435739457984759, -0.0003720241251526798, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.975,"[1.0435864956262026, -0.00046583930180101437, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.175,"[1.1436001885085305, -0.000569047792973008, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.375,"[1.2436145664670828, -0.0006808182647639667, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.575,"[1.343629173224824, -0.0008001524166699887, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.775,"[1.4436450960625264, -0.0009285224813478411, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.975,"[1.5436638224731012, -0.0010678070928380127, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.175,"[1.6436803226015209, -0.0012146520055638147, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.375,"[1.743691730511145, -0.0013656308926494217, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.575,"[1.8436992999296598, -0.0015205480791465357, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.775,"[1.943704889857746, -0.0016799989401461636, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.975,"[2.043708695637547, -0.0018448176030017851, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.175,"[2.1437108701558847, -0.0020152886120831876, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.375,"[2.243711556178763, -0.002190121578771934, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.575,"[2.343711447263644, -0.00236814917420432, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.776,"[2.4442120373603995, -0.00254988764757673, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.976,"[2.5442121688908776, -0.0027322701037557993, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.176,"[2.644212939752544, -0.002915783168961392, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.376,"[2.74421468224432, -0.0030996229959183606, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.577,"[2.8427155355503437, -0.003280230299876069, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.777,"[2.9447213118362376, -0.0034659428250212224, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.977,"[3.044725609365935, -0.003645642815038918, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.177,"[3.144730928189487, -0.0038222925503370387, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.377,"[3.2447370095666583, -0.003994736845644759, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.577,"[3.344743935711187, -0.004161901739854296, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.777,"[3.444751753839329, -0.004322994535989584, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.977,"[3.5447602620203744, -0.004476275672373133, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.177,"[3.6447696280371473, -0.004620572544892501, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.377,"[3.744779853944531, -0.004754264817411228, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.577,"[3.844790906698297, -0.004875687888750233, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.777,"[3.9448025841018204, -0.004983233981364062, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
8.977,"[4.044814806624381, -0.005074020533423102, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.177,"[4.144827080168198, -0.005144332536399904, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.377,"[4.244839364384689, -0.0051911779405003685, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.577,"[4.344853497597778, -0.005214105055592976, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.777,"[4.444866947270267, -0.005206009819399331, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
9.977,"[4.544875406121625, -0.005156380512735353, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.177,"[4.644881199274938, -0.00505311782679109, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.377,"[4.745384412752346, -0.004872649811939681, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0050496133846495315]"
10.577,"[4.844882470293895, -0.004581680105972778, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.007760294792626131]"
10.777,"[4.944767099025313, -0.003934124346992684, 0.0]","[0.0, 0.0, 0.018437220258993935]","[0.5, 0.0, 0.22861195665818274]"
10.977,"[5.044325821709182, 0.00010740013095910658, 0.0]","[0.0, 0.0, 0.06283879454565985]","[0.5, 0.0, 0.21815044832875066]"
11.177,"[5.14360547352866, 0.008472349469577605, 0.0]","[0.0, 0.0, 0.10553299456890655]","[0.5, 0.0, 0.2081251600741888]"
11.377,"[5.2424727199693635, 0.020983024671509927, 0.0]","[0.0, 0.0, 0.14643273887484698]","[0.5, 0.0, 0.19855972765547306]"
11.577,"[5.340780455152196, 0.0374296824874011, 0.0]","[0.0, 0.0, 0.18543480049709463]","[0.5, 0.0, 0.18948852122997528]"
11.777,"[5.438412133132889, 0.05761082041068597, 0.0]","[0.0, 0.0, 0.2226371356328171]","[0.5, 0.0, 0.18088417559908077]"
11.977,"[5.535274055320519, 0.08133464571171402, 0.0]","[0.0, 0.0, 0.25820271868322203]","[0.5, 0.0, 0.17270074724850723]"
12.177,"[5.631273121037567, 0.10841791690630677, 0.0]","[0.0, 0.0, 0.29212798994289096]","[0.5, 0.0, 0.16493994237295967]"
12.377,"[5.726352296114959, 0.13867828268185758, 0.0]","[0.0, 0.0, 0.3246148479633491]","[0.5, 0.0, 0.15754446102886774]"
12.577,"[5.820441904130904, 0.1719352993900828, 0.0]","[0.0, 0.0, 0.3555353659897228]","[0.5, 0.0, 0.15055580415660916]"
12.777,"[5.91346755234217, 0.20804888304722122, 0.0]","[0.0, 0.0, 0.38498754687565173]","[0.5, 0.0, 0.143939352331798]"
12.977,"[6.0054022411202, 0.24683618171005833, 0.0]","[0.0, 0.0, 0.4131860181416514]","[0.5, 0.0, 0.13764124030419786]"
13.177,"[6.096229918025415, 0.28814484278685026, 0.0]","[0.0, 0.0, 0.44020016104304877]","[0.5, 0.0, 0.13164070429237176]"
13.377,"[6.185942438052897, 0.33183722962203616, 0.0]","[0.0, 0.0, 0.4660499509120849]","[0.5, 0.0, 0.12593503291646063]"
13.577,"[6.274531578248262, 0.3777820698086611, 0.0]","[0.0, 0.0, 0.49077706411969185]","[0.5, 0.0, 0.12051383481451207]"
13.777,"[6.361995423223126, 0.42585539867676714, 0.0]","[0.0, 0.0, 0.5144302894617273]","[0.5, 0.0, 0.11536381456151339]"
13.977,"[6.448332901580525, 0.47594097829287074, 0.0]","[0.0, 0.0, 0.5370732806493245]","[0.5, 0.0, 0.11046831502435604]"
14.177,"[6.533550350990889, 0.5279305337173565, 0.0]","[0.0, 0.0, 0.5587598496803121]","[0.5, 0.0, 0.10581331097874704]"
14.377,"[6.617653727429461, 0.5817205511483409, 0.0]","[0.0, 0.0, 0.5795327164991316]","[0.5, 0.0, 0.1013878539836543]"
14.577,"[6.700656480146782, 0.6372153715025869, 0.0]","[0.0, 0.0, 0.5994404930752334]","[0.5, 0.0, 0.09717951682170298]"
14.777,"[6.78257267541633, 0.6943245548104255, 0.0]","[0.0, 0.0, 0.6185251475226321]","[0.5, 0.0, 0.0931777254668086]"
14.977,"[6.863417171139327, 0.7529605612462444, 0.0]","[0.0, 0.0, 0.6368341073886142]","[0.5, 0.0, 0.0893702133783133]"
15.178,"[6.9436012166748196, 0.813342525925351, 0.0]","[0.0, 0.0, 0.654447403804829]","[0.5, 0.0, 0.08572486028293207]"
15.378,"[7.022350774237455, 0.8747957829307292, 0.0]","[0.0, 0.0, 0.6712966211178656]","[0.5, 0.0, 0.08230198858030452]"
15.578,"[7.100082281648761, 0.9375515022492787, 0.0]","[0.0, 0.0, 0.6875044966820234]","[0.5, 0.0, 0.07902148281563577]"
15.778,"[7.17680718308361, 1.0015431200624427, 0.0]","[0.0, 0.0, 0.7030223899432153]","[0.5, 0.0, 0.07591314575885896]"
15.978,"[7.2525355437318995, 1.0666997898084258, 0.0]","[0.0, 0.0, 0.7179542141744016]","[0.5, 0.0, 0.07294929616645791]"
16.178,"[7.327298780546449, 1.1329562218876812, 0.0]","[0.0, 0.0, 0.7323194329100654]","[0.5, 0.0, 0.07012827636974785]"
16.378,"[7.401124239285276, 1.2002559856533765, 0.0]","[0.0, 0.0, 0.7460997811308239]","[0.5, 0.0, 0.0674449450950269]"
16.578,"[7.474039393900732, 1.2685453544579686, 0.0]","[0.0, 0.0, 0.7593263472735731]","[0.5, 0.0, 0.06492862484386558]"
16.778,"[7.546061801987561, 1.3377731191511846, 0.0]","[0.0, 0.0, 0.7720768800751032]","[0.5, 0.0, 0.06252084838191166]"
16.979,"[7.617567226970874, 1.4082468041184033, 0.0]","[0.0, 0.0, 0.7844157554312393]","[0.5, 0.0, 0.06022308484750004]"
17.179,"[7.687866219858938, 1.4792228289971059, 0.0]","[0.0, 0.0, 0.7962344140846352]","[0.5, 0.0, 0.058055405990321496]"
17.379,"[7.75734152306041, 1.5510115072807698, 0.0]","[0.0, 0.0, 0.8076028254780816]","[0.5, 0.0, 0.05600580858334999]"
17.579,"[7.82601246311058, 1.623572032639117, 0.0]","[0.0, 0.0, 0.8185592672838634]","[0.5, 0.0, 0.054064535218750674]"
17.779,"[7.893897208765533, 1.6968680180699822, 0.0]","[0.0, 0.0, 0.8291407245658169]","[0.5, 0.0, 0.05222220862691773]"
17.979,"[7.961015647754686, 1.770867955123735, 0.0]","[0.0, 0.0, 0.8393538174198112]","[0.5, 0.0, 0.050478578029832584]"
18.179,"[8.027387406301752, 1.845541630443896, 0.0]","[0.0, 0.0, 0.8492140551940569]","[0.5, 0.0, 0.048830773110774585]"
18.379,"[8.093031146563014, 1.9208591591222983, 0.0]","[0.0, 0.0, 0.858735936859245]","[0.5, 0.0, 0.047276406560043095]"
18.579,"[8.15796486382978, 1.9967920550283436, 0.0]","[0.0, 0.0, 0.8679412021049665]","[0.5, 0.0, 0.04581105164066866]"
18.779,"[8.222206545548667, 2.0733149371664616, 0.0]","[0.0, 0.0, 0.8768476166081783]","[0.5, 0.0, 0.044431236179107846]"
18.979,"[8.285772318864952, 2.1504036455833297, 0.0]","[0.0, 0.0, 0.8854740248541499]","[0.5, 0.0, 0.043133626323629694]"
19.179,"[8.34867707961731, 2.2280350079891957, 0.0]","[0.0, 0.0, 0.8938402631250636]","[0.5, 0.0, 0.04191438595964914]"
19.379,"[8.410936300111047, 2.3061866160779583, 0.0]","[0.0, 0.0, 0.9019670652764805]","[0.5, 0.0, 0.040770011295016825]"
