time,position,rotation,velocity
0.174,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.374,"[0.0021360384299764375, 1.0730387091752892e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.574,"[0.031032476776192232, 1.252331527616162e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.774,"[0.07922662495950396, 8.473223015592704e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.974,"[0.150184174633218, -7.470833529294367e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.174,"[0.2430163735476055, -1.640333592975627e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.374,"[0.34302244430702955, -3.1603891125802695e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.5739999999999998,"[0.4430283828071848, -5.752996102914257e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.774,"[0.543035182355735, -9.723611780591173e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.974,"[0.6430432505066582, -0.00014976768689821293, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.174,"[0.7435521562382612, -0.00021370607639818265, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.374,"[0.8430628917979535, -0.00028739093939025346, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.574,"[0.9430745522453128, -0.0003715954497623094, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.774,"[1.0430872377975033, -0.000465408384147353, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.974,"[1.14310105162378, -0.0005685564283174635, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.174,"[1.2431154849527115, -0.0006801411053645271, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.374,"[1.3431301240235514, -0.0007993875831320105, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.574,"[1.4431464569689099, -0.0009280756083066819, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
