time,position,rotation,velocity
0.169,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.369,"[1.803281102649712e-06, 1.0105796385514613e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.569,"[0.01786630136375882, 1.4813246444498994e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.769,"[0.06017618569347084, 5.791882299011964e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.969,"[0.12361418727075711, -1.304663185092817e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.169,"[0.20927799529037924, -2.84046475223327e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.37,"[0.3091896379823382, -5.7151140853406814e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.5699999999999998,"[0.4092035365889352, -9.835984726285189e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.77,"[0.5092196968956203, -0.000152928966561803, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.97,"[0.609237990785544, -0.00022164465977307605, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.17,"[0.7092536566874404, -0.00030037784020280794, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.37,"[0.8092641868769396, -0.0003858471677996736, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.57,"[0.9092713155224068, -0.00047898029562475915, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.77,"[1.009276466274713, -0.0005810134326762468, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.9699999999999998,"[1.1092800497633664, -0.0006921504039827276, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
