time,position,rotation,velocity
0.375,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.575,"[0.0021360384299764375, 1.0730387091752892e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.775,"[0.031032476776192232, 1.252331527616162e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.975,"[0.07922662495950396, 8.473223015592704e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.175,"[0.150184174633218, -7.470833529294367e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.375,"[0.2430163735476055, -1.640333592975627e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.575,"[0.34302244430702955, -3.1603891125802695e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.775,"[0.4430283828071848, -5.752996102914257e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.975,"[0.543035182355735, -9.723611780591173e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.175,"[0.6430432505066582, -0.00014976768689821293, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.375,"[0.7430524816699028, -0.00021338479505649506, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.575,"[0.8430628917935185, -0.00028739077612359215, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.775,"[0.9430745522381084, -0.0003715950722076805, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.975,"[1.0430872378080824, -0.00046540790307680944, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.175,"[1.1431010516464688, -0.0005685561256039596, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.375,"[1.2431154849787285, -0.0006801410706381651, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.575,"[1.3431301240520586, -0.0007993878289092119, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.775,"[1.443146456998398, -0.0009280761246226537, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.975,"[1.543165261750182, -0.0010676489730237694, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.175,"[1.643181097200487, -0.0012142151971490473, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.375,"[1.7431918741716155, -0.0013647707609088864, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.575,"[1.8431990753839596, -0.001519454347850323, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.775,"[1.9432044427549626, -0.0016788267346000076, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.975,"[2.04320801005633, -0.001843755939545592, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.175,"[2.1432099700559557, -0.0020143590609385843, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.375,"[2.243210494970988, -0.0021892198142420753, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.575,"[2.343210311127932, -0.002367234753325092, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.775,"[2.443209855191962, -0.002548042360177252, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.975,"[2.5432101841536503, -0.0027304380708159156, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
