time,position,rotation,velocity
0.163,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.08743715088482622]"
0.363,"[0.0005288398270437977, 1.0734246570918035e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.08744560269762174]"
0.563,"[0.023921329169482065, 1.3676598038006741e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.08783657490736893]"
0.763,"[0.06880891332991536, 5.529604466884415e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.08857454031936825]"
0.963,"[0.13585639556225593, -1.111737580208957e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.08967214136789041]"
1.163,"[0.2251321006929727, 1.2333422144866356e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.09128938654106351]"
1.363,"[0.3252090772242741, -0.0008451851939278319, 0.0]","[0.0, 0.0, -0.017321766884942885]","[0.5, 0.0, -0.08791974281905943]"
1.563,"[0.4252921780926335, -0.0034375850951175037, 0.0]","[0.0, 0.0, -0.03459489333482399]","[0.5, 0.0, -0.08448853363811042]"
1.763,"[0.5253130639818726, -0.007731269119373502, 0.0]","[0.0, 0.0, -0.051267505632518695]","[0.5, 0.0, -0.08120452560926793]"
1.963,"[0.6252401573239748, -0.013664656178424807, 0.0]","[0.0, 0.0, -0.06731606028945765]","[0.5, 0.0, -0.078075882000985]"
2.163,"[0.7250631045322121, -0.02117223534134616, 0.0]","[0.0, 0.0, -0.0827004241848604]","[0.5, 0.0, -0.07511985499509927]"
2.363,"[0.8247521343527651, -0.030193798791413894, 0.0]","[0.0, 0.0, -0.09750377845753005]","[0.5, 0.0, -0.07230747331969545]"
2.5629999999999997,"[0.9242839140180824, -0.04066852350682477, 0.0]","[0.0, 0.0, -0.11182277290403182]","[0.5, 0.0, -0.06961550997344931]"
2.763,"[1.0236479433387604, -0.0525373739126994, 0.0]","[0.0, 0.0, -0.12565989244614462]","[0.5, 0.0, -0.06704533122059125]"
2.963,"[1.1228357095963457, -0.06575111257922844, 0.0]","[0.0, 0.0, -0.13901969336478218]","[0.5, 0.0, -0.06459738235463741]"
3.163,"[1.2218377118970967, -0.08025893689147717, 0.0]","[0.0, 0.0, -0.151915785109381]","[0.5, 0.0, -0.06226948218395299]"
3.363,"[1.3206457526147117, -0.09601408614507308, 0.0]","[0.0, 0.0, -0.16437332531635693]","[0.5, 0.0, -0.060055898595668435]"
3.5629999999999997,"[1.4192521227652353, -0.11297113637133656, 0.0]","[0.0, 0.0, -0.17639912395436091]","[0.5, 0.0, -0.05795648819556942]"
3.763,"[1.5176506075499554, -0.13108696244358237, 0.0]","[0.0, 0.0, -0.1880106391986221]","[0.5, 0.0, -0.05596788529132294]"
3.963,"[1.6158346697916464, -0.15032010150195896, 0.0]","[0.0, 0.0, -0.1992291974647532]","[0.5, 0.0, -0.05408582451386472]"
4.163,"[1.7138010046763028, -0.17063215320001782, 0.0]","[0.0, 0.0, -0.2100771410350656]","[0.5, 0.0, -0.05230573845133973]"
4.3629999999999995,"[1.8115471022923841, -0.19198647166675972, 0.0]","[0.0, 0.0, -0.22057942524197188]","[0.5, 0.0, -0.05062235971928998]"
4.563,"[1.909070306135454, -0.2143494042633718, 0.0]","[0.0, 0.0, -0.23077006388661833]","[0.5, 0.0, -0.04902770363098524]"
4.763,"[2.006366924227301, -0.23768857194867477, 0.0]","[0.0, 0.0, -0.2406536622868169]","[0.5, 0.0, -0.0475226796526495]"
4.963,"[2.103431611618824, -0.26197209086759, 0.0]","[0.0, 0.0, -0.25023540970995156]","[0.5, 0.0, -0.04610849967861481]"
5.163,"[2.200260622112247, -0.2871685691753281, 0.0]","[0.0, 0.0, -0.2595261797039462]","[0.5, 0.0, -0.044785041360929735]"
5.3629999999999995,"[2.296853539046033, -0.313249336770198, 0.0]","[0.0, 0.0, -0.26852453082596406]","[0.5, 0.0, -0.04355562610637246]"
5.563,"[2.3932115002039214, -0.34018864243499836, 0.0]","[0.0, 0.0, -0.27724752236794525]","[0.5, 0.0, -0.042418157818319424]"
5.763,"[2.48933551178088, -0.36796223568603353, 0.0]","[0.0, 0.0, -0.2857394850030732]","[0.5, 0.0, -0.041362079967935346]"
5.963,"[2.585224760858457, -0.39654647875441346, 0.0]","[0.0, 0.0, -0.2940085827432397]","[0.5, 0.0, -0.04039185647345565]"
6.163,"[2.6808784976020053, -0.4259174840769569, 0.0]","[0.0, 0.0, -0.3020408509298434]","[0.5, 0.0, -0.039512695585199716]"
6.3629999999999995,"[2.77628945368588, -0.45605351096666824, 0.0]","[0.0, 0.0, -0.3099115014538446]","[0.5, 0.0, -0.038707243048780995]"
6.563,"[2.8714566438769897, -0.4869339461061446, 0.0]","[0.0, 0.0, -0.31763717361244054]","[0.5, 0.0, -0.0379780907810866]"
6.763,"[2.966380018089253, -0.518542173533292, 0.0]","[0.0, 0.0, -0.32522155467261976]","[0.5, 0.0, -0.03733000080477598]"
6.963,"[3.0610598413094325, -0.5508634079762396, 0.0]","[0.0, 0.0, -0.3326877935887809]","[0.5, 0.0, -0.03676317824205936]"
7.163,"[3.1554960050845513, -0.583883553712713, 0.0]","[0.0, 0.0, -0.3400474795394604]","[0.5, 0.0, -0.03628272049457523]"
7.3629999999999995,"[3.2496879126170524, -0.6175912301968621, 0.0]","[0.0, 0.0, -0.34731641122114904]","[0.5, 0.0, -0.03589387929866807]"
7.563,"[3.3436341616314955, -0.6519761872627987, 0.0]","[0.0, 0.0, -0.35450984943489566]","[0.5, 0.0, -0.03560365620844095]"
7.763,"[3.4373313078253784, -0.6870298417998297, 0.0]","[0.0, 0.0, -0.3616434904347893]","[0.5, 0.0, -0.03542133478481129]"
7.963,"[3.5307773423765716, -0.7227459369852699, 0.0]","[0.0, 0.0, -0.36873800407206364]","[0.5, 0.0, -0.03535777915001206]"
8.163,"[3.6239675514252356, -0.7591206011175128, 0.0]","[0.0, 0.0, -0.37582385840564936]","[0.5, 0.0, -0.03542460453517014]"
8.363,"[3.7168960444771066, -0.7961528941810059, 0.0]","[0.0, 0.0, -0.38293059527315115]","[0.5, 0.0, -0.03563867392824898]"
8.563,"[3.8095561919543184, -0.8338455882729713, 0.0]","[0.0, 0.0, -0.3900945315125843]","[0.5, 0.0, -0.036021479990043716]"
8.763,"[3.9019411031597104, -0.8722045339869836, 0.0]","[0.0, 0.0, -0.3973478699074678]","[0.5, 0.0, -0.036605210948892054]"
8.963,"[3.9940421053053226, -0.9112388838449942, 0.0]","[0.0, 0.0, -0.40473710644643734]","[0.5, 0.0, -0.03743111355651129]"
9.163,"[4.085848290147602, -0.9509618675232382, 0.0]","[0.0, 0.0, -0.41231746103649625]","[0.5, 0.0, -0.038556923234452076]"
9.363,"[4.177346281906048, -0.9913928622985207, 0.0]","[0.0, 0.0, -0.42015341969546627]","[0.5, 0.0, -0.04006578992685208]"
9.563,"[4.268518712458611, -1.032556730586456, 0.0]","[0.0, 0.0, -0.4283289313576168]","[0.5, 0.0, -0.04207952069947999]"
9.763,"[4.359344185905958, -1.0744872611689826, 0.0]","[0.0, 0.0, -0.4369581852367547]","[0.5, 0.0, -0.0447823695481757]"
9.963,"[4.449794874064123, -1.117231455855562, 0.0]","[0.0, 0.0, -0.44619734722498605]","[0.5, 0.0, -0.04846704290149218]"
10.163,"[4.5398310226456475, -1.160850695621171, 0.0]","[0.0, 0.0, -0.4562883101129141]","[0.5, 0.0, -0.05362410767510865]"
10.363,"[4.629409475429078, -1.2054340745993757, 0.0]","[0.0, 0.0, -0.46753764033872425]","[0.5, 0.0, -0.06117382991953725]"
