time,position,rotation,velocity
0.372,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.572,"[0.0005288398270437977, 1.0734246570918035e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.772,"[0.023921329169482065, 1.3676598038006741e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.972,"[0.06880891332991536, 5.529604466884415e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.173,"[0.13584153777956112, -1.5509200770632656e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.373,"[0.22559664681465091, -3.663281187844975e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.573,"[0.325590855618733, -7.09822516636639e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.7730000000000001,"[0.4256012619135491, -0.00011874087301837713, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.9729999999999999,"[0.5256129963068047, -0.00017827155671123557, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.173,"[0.625625829286935, -0.00024887466730449064, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.373,"[0.725639838930705, -0.0003296096455812512, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.573,"[0.8256541232533278, -0.0004188604449953631, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.773,"[0.9256692431407672, -0.0005174990663085047, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.973,"[1.0256870431143401, -0.0006283166953992299, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.173,"[1.1257052634840674, -0.0007491992214031702, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.373,"[1.22571871776275, -0.0008766535579430019, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.573,"[1.325727724482947, -0.0010092412267745006, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.773,"[1.4257338746734296, -0.0011483016752662605, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.973,"[1.5257384640998355, -0.001293835131339263, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.173,"[1.6257412402942104, -0.001446914442267148, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
