time,position,rotation,velocity
0.175,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.375,"[0.0005288398270437977, 1.0734246570918035e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.575,"[0.023921329169482065, 1.3676598038006741e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.775,"[0.06880891332991536, 5.529604466884415e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.975,"[0.13584153777960414, -1.5509200819554992e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.175,"[0.2251019931959729, -3.648517181093848e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.375,"[0.325091255162681, -7.080151141412665e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.575,"[0.4251018061683132, -0.0001184897363670848, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.775,"[0.5251136814706575, -0.00017799808646904965, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
1.975,"[0.6251266425005549, -0.00024855827606640835, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.175,"[0.7251407362309885, -0.0003291266327600396, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.375,"[0.8251550393629665, -0.0004182154706025504, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.575,"[0.9251704086673773, -0.0005170577725562932, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.775,"[1.0251885716534197, -0.0006282568421317661, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
2.975,"[1.1252063770590304, -0.0007490378899218292, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.175,"[1.2252190948316197, -0.0008760182806879357, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.375,"[1.3252276282368334, -0.001008280745978887, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.575,"[1.425233515412704, -0.0011471888514988059, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.775,"[1.5252378782662817, -0.0012927992257085433, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
3.975,"[1.6252404240749991, -0.0014460006581808015, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.175,"[1.7252416075102377, -0.0016063095359686909, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.375,"[1.825241569962698, -0.0017720802524691043, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.576,"[1.9257423372607956, -0.0019436858512775273, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.776,"[2.0257422815751966, -0.0021184810948538632, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
4.976,"[2.125743079177888, -0.002296864884377162, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.176,"[2.225744505647307, -0.0024785937607705983, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.376,"[2.3257470609670916, -0.0026624301106633326, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.576,"[2.4257504879634033, -0.002847897786361992, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.776,"[2.5257548323365593, -0.0030343667731994963, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
5.976,"[2.625760206987135, -0.0032209406777335037, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.176,"[2.7257663225396573, -0.0034069519659432022, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.376,"[2.8257734243427324, -0.0035914250066877524, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.576,"[2.9257815926176085, -0.0037738402744162333, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.776,"[3.025790337281985, -0.0039533080196461606, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
6.976,"[3.1258000121932836, -0.004128659873676495, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.176,"[3.2258107403640297, -0.004299189360558244, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
7.376,"[3.325822294995968, -0.004463577754733666, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
